time_utc,ch4,co2_ppm
YYYY-MM-DD HH:mm,ppb,ppm
2023-04-15 00:05,NaN,NaN
2023-04-15 01:05,1979.5,421.01
2023-04-15 02:05,1976.4,421.39
2023-04-15 03:05,1981.8,421.48
2023-04-15 04:05,1992.6,421.37
2023-04-15 05:05,2207.1,422.16
2023-04-15 06:05,2223.5,422.79
2023-04-15 07:05,2022.8,422.76
2023-04-15 08:05,2084.8,421.72
2023-04-15 09:05,2125.0,423.88
2023-04-15 10:05,2130.0,423.5
2023-04-15 11:05,2138.0,425.81
2023-04-15 12:05,3087.1,432.31
2023-04-15 13:05,2590.9,434.61
2023-04-15 14:05,2792.4,426.19
2023-04-15 15:05,2480.1,424.17
2023-04-15 16:05,2061.5,421.29
2023-04-15 17:05,2005.3,421.34
2023-04-15 18:05,1992.9,421.13
2023-04-15 19:05,1994.7,421.29
2023-04-15 20:05,1998.8,421.52
2023-04-15 21:05,1998.8,421.37
2023-04-15 22:05,2011.3,421.47
2023-04-15 23:05,2004.9,421.34
2023-04-16 00:05,2018.9,421.26
2023-04-16 01:05,2016.5,422.19
2023-04-16 02:05,2104.2,425.61
2023-04-16 03:05,2474.4,430.2
2023-04-16 04:05,2279.0,429.0
2023-04-16 05:05,2517.8,431.72
2023-04-16 06:05,2296.6,427.91
2023-04-16 07:05,2122.9,427.05
2023-04-16 08:05,2119.4,426.54
2023-04-16 09:05,2087.4,426.27
2023-04-16 10:05,2126.3,428.24
2023-04-16 11:05,2246.8,430.37
2023-04-16 12:05,2622.7,436.16
2023-04-16 13:05,3134.1,431.06
2023-04-16 14:05,2447.7,427.43
2023-04-16 15:05,2169.0,426.59
2023-04-16 16:05,2199.0,426.61
2023-04-16 17:05,2111.0,424.95
2023-04-16 18:05,2070.4,424.79
2023-04-16 19:05,2111.2,425.08
2023-04-16 20:05,2127.4,424.67
2023-04-16 21:05,2146.5,424.94
2023-04-16 22:05,2124.4,424.76
2023-04-16 23:05,2156.0,424.9
2023-04-17 00:05,2165.5,424.62
2023-04-17 01:05,2176.5,424.65
2023-04-17 02:05,2265.1,427.55
2023-04-17 03:05,2672.8,431.51
2023-04-17 04:05,4114.3,434.5
2023-04-17 05:05,2985.6,434.58
2023-04-17 06:05,3860.8,433.82
2023-04-17 07:05,3527.4,438.66
2023-04-17 08:05,3108.9,437.08
2023-04-17 09:05,3597.3,438.67
2023-04-17 10:05,3720.6,446.87
2023-04-17 11:05,3369.6,438.98
2023-04-17 12:05,2932.4,438.27
2023-04-17 13:05,3050.1,443.41
2023-04-17 14:05,2845.1,433.74
2023-04-17 15:05,2556.7,429.45
2023-04-17 16:05,2475.5,427.52
2023-04-17 17:05,2301.2,425.21
