time_utc,ch4,co2_ppm
YYYY-MM-DD HH:mm,ppb,ppm
2023-04-15 00:05,NaN,NaN
2023-04-15 01:05,1980.3,424.36
2023-04-15 02:05,1977.2,424.74
2023-04-15 03:05,1982.6,424.84
2023-04-15 04:05,1993.4,424.72
2023-04-15 05:05,2208.0,425.52
2023-04-15 06:05,2224.4,426.15
2023-04-15 07:05,2023.6,426.12
2023-04-15 08:05,2085.7,425.07
2023-04-15 09:05,2125.8,427.25
2023-04-15 10:05,2130.8,426.86
2023-04-15 11:05,2138.9,429.2
2023-04-15 12:05,3088.4,435.75
2023-04-15 13:05,2591.9,438.06
2023-04-15 14:05,2793.6,429.58
2023-04-15 15:05,2481.1,427.54
2023-04-15 16:05,2062.3,424.64
2023-04-15 17:05,2006.1,424.68
2023-04-15 18:05,1993.7,424.48
2023-04-15 19:05,1995.5,424.64
2023-04-15 20:05,1999.6,424.87
2023-04-15 21:05,1999.6,424.72
2023-04-15 22:05,2012.2,424.82
2023-04-15 23:05,2005.7,424.69
2023-04-16 00:05,2019.7,424.61
2023-04-16 01:05,2017.3,425.55
2023-04-16 02:05,2105.0,428.99
2023-04-16 03:05,2475.4,433.62
2023-04-16 04:05,2279.9,432.41
2023-04-16 05:05,2518.9,435.15
2023-04-16 06:05,2297.5,431.31
2023-04-16 07:05,2123.8,430.44
2023-04-16 08:05,2120.3,429.93
2023-04-16 09:05,2088.3,429.66
2023-04-16 10:05,2127.2,431.64
2023-04-16 11:05,2247.7,433.79
2023-04-16 12:05,2623.7,439.63
2023-04-16 13:05,3135.4,434.48
2023-04-16 14:05,2448.7,430.83
2023-04-16 15:05,2169.8,429.99
2023-04-16 16:05,2199.9,430.0
2023-04-16 17:05,2111.9,428.32
2023-04-16 18:05,2071.3,428.17
2023-04-16 19:05,2112.1,428.46
2023-04-16 20:05,2128.2,428.05
2023-04-16 21:05,2147.4,428.31
2023-04-16 22:05,2125.3,428.14
2023-04-16 23:05,2156.9,428.28
2023-04-17 00:05,2166.4,428.0
2023-04-17 01:05,2177.4,428.02
2023-04-17 02:05,2266.1,430.95
2023-04-17 03:05,2673.9,434.94
2023-04-17 04:05,4116.0,437.95
2023-04-17 05:05,2986.9,438.04
2023-04-17 06:05,3862.4,437.27
2023-04-17 07:05,3528.8,442.14
2023-04-17 08:05,3110.1,440.55
2023-04-17 09:05,3598.7,442.16
2023-04-17 10:05,3722.2,450.42
2023-04-17 11:05,3371.0,442.47
2023-04-17 12:05,2933.6,441.75
2023-04-17 13:05,3051.3,446.93
2023-04-17 14:05,2846.2,437.18
2023-04-17 15:05,2557.7,432.86
2023-04-17 16:05,2476.5,430.92
2023-04-17 17:05,2302.1,428.59
