time_utc,co
YYYY-MM-DD HH:mm,ppb
2023-04-15 00:05,116.4
2023-04-15 01:05,105.92
2023-04-15 02:05,99.48
2023-04-15 03:05,89.25
2023-04-15 04:05,85.48
2023-04-15 05:05,111.46
2023-04-15 06:05,158.1
2023-04-15 07:05,124.08
2023-04-15 08:05,120.17
2023-04-15 09:05,118.62
2023-04-15 10:05,122.36
2023-04-15 11:05,137.4
2023-04-15 12:05,150.7
2023-04-15 13:05,176.36
2023-04-15 14:05,144.61
2023-04-15 15:05,138.4
2023-04-15 16:05,108.51
2023-04-15 17:05,93.1
2023-04-15 18:05,116.5
2023-04-15 19:05,112.62
2023-04-15 20:05,113.82
2023-04-15 21:05,107.81
2023-04-15 22:05,105.45
2023-04-15 23:05,100.76
2023-04-16 00:05,141.1
2023-04-16 01:05,139.13
2023-04-16 02:05,150.6
2023-04-16 03:05,162.39
2023-04-16 04:05,136.61
2023-04-16 05:05,159.27
2023-04-16 06:05,118.3
2023-04-16 07:05,122.0
2023-04-16 08:05,120.31
2023-04-16 09:05,114.45
2023-04-16 10:05,116.88
2023-04-16 11:05,135.56
2023-04-16 12:05,157.6
2023-04-16 13:05,145.33
2023-04-16 14:05,142.59
2023-04-16 15:05,130.02
2023-04-16 16:05,130.33
2023-04-16 17:05,123.3
2023-04-16 18:05,139.9
2023-04-16 19:05,137.99
2023-04-16 20:05,133.13
2023-04-16 21:05,133.01
2023-04-16 22:05,133.09
2023-04-16 23:05,134.63
2023-04-17 00:05,121.0
2023-04-17 01:05,109.98
2023-04-17 02:05,180.78
2023-04-17 03:05,440.07
2023-04-17 04:05,179.3
2023-04-17 05:05,168.5
2023-04-17 06:05,NaN
2023-04-17 07:05,186.01
2023-04-17 08:05,222.84
2023-04-17 09:05,189.09
2023-04-17 10:05,271.49
2023-04-17 11:05,220.28
2023-04-17 12:05,325.9
2023-04-17 13:05,268.36
2023-04-17 14:05,190.66
2023-04-17 15:05,170.48
2023-04-17 16:05,166.67
2023-04-17 17:05,139.2
2023-04-17 18:05,157.3
2023-04-17 19:05,148.38
2023-04-17 20:05,144.16
2023-04-17 21:05,146.66
2023-04-17 22:05,153.79
2023-04-17 23:05,150.69
2023-04-18 00:05,136.7
2023-04-18 01:05,141.26
2023-04-18 02:05,142.92
2023-04-18 03:05,150.07
2023-04-18 04:05,153.12
2023-04-18 05:05,157.18
2023-04-18 06:05,157.5
2023-04-18 07:05,160.39
2023-04-18 08:05,157.5
2023-04-18 09:05,165.28
2023-04-18 10:05,207.34
2023-04-18 11:05,186.0
2023-04-18 12:05,320.0
2023-04-18 13:05,303.58
2023-04-18 14:05,264.44
2023-04-18 15:05,241.17
2023-04-18 16:05,143.04
2023-04-18 17:05,141.46
2023-04-18 18:05,116.7
2023-04-18 19:05,125.7
2023-04-18 20:05,111.98
2023-04-18 21:05,114.35
2023-04-18 22:05,125.04
2023-04-18 23:05,115.08
2023-04-19 00:05,110.1
2023-04-19 01:05,130.21
2023-04-19 02:05,172.51
2023-04-19 03:05,167.48
2023-04-19 04:05,202.38
2023-04-19 05:05,195.77
2023-04-19 06:05,149.6
2023-04-19 07:05,188.98
2023-04-19 08:05,190.98
2023-04-19 09:05,236.48
2023-04-19 10:05,340.96
2023-04-19 11:05,247.47
2023-04-19 12:05,122.4
2023-04-19 13:05,183.68
2023-04-19 14:05,139.66
2023-04-19 15:05,134.1
2023-04-19 16:05,117.8
2023-04-19 17:05,109.67
2023-04-19 18:05,108.9
2023-04-19 19:05,144.08
2023-04-19 20:05,135.64
2023-04-19 21:05,144.77
2023-04-19 22:05,134.7
2023-04-19 23:05,142.93
2023-04-20 00:05,123.5
2023-04-20 01:05,552.23
2023-04-20 02:05,174.0
2023-04-20 03:05,194.46
2023-04-20 04:05,182.63
2023-04-20 05:05,141.04
2023-04-20 06:05,118.3
2023-04-20 07:05,122.87
2023-04-20 08:05,145.76
2023-04-20 09:05,128.93
2023-04-20 10:05,132.04
2023-04-20 11:05,132.1
2023-04-20 12:05,145.6
2023-04-20 13:05,128.49
2023-04-20 14:05,164.4
2023-04-20 15:05,134.2
2023-04-20 16:05,134.02
2023-04-20 17:05,153.99
2023-04-20 18:05,143.6
2023-04-20 19:05,147.43
2023-04-20 20:05,137.3
2023-04-20 21:05,147.2
2023-04-20 22:05,150.07
2023-04-20 23:05,146.39
2023-04-21 00:05,143.9
2023-04-21 01:05,140.9
2023-04-21 02:05,163.5
2023-04-21 03:05,217.52
2023-04-21 04:05,174.29
2023-04-21 05:05,234.2
2023-04-21 06:05,212.9
2023-04-21 07:05,159.26
2023-04-21 08:05,149.43
2023-04-21 09:05,138.37
2023-04-21 10:05,150.03
2023-04-21 11:05,134.47
2023-04-21 12:05,171.6
2023-04-21 13:05,151.43
2023-04-21 14:05,148.37
2023-04-21 15:05,149.31
2023-04-21 16:05,149.03
2023-04-21 17:05,145.48
2023-04-21 18:05,115.3
2023-04-21 19:05,117.93
2023-04-21 20:05,122.53
2023-04-21 21:05,109.67
2023-04-21 22:05,116.09
2023-04-21 23:05,117.72
2023-04-22 00:05,135.3
2023-04-22 01:05,136.01
2023-04-22 02:05,139.77
2023-04-22 03:05,144.91
2023-04-22 04:05,452.84
2023-04-22 05:05,218.64
2023-04-22 06:05,215.6
2023-04-22 07:05,186.16
2023-04-22 08:05,323.81
2023-04-22 09:05,268.11
2023-04-22 10:05,209.26
2023-04-22 11:05,137.2
2023-04-22 12:05,151.2
2023-04-22 13:05,140.7
2023-04-22 14:05,120.39
2023-04-22 15:05,128.19
2023-04-22 16:05,126.99
2023-04-22 17:05,124.58
2023-04-22 18:05,132.9
2023-04-22 19:05,131.28
2023-04-22 20:05,125.94
2023-04-22 21:05,132.96
2023-04-22 22:05,127.16
2023-04-22 23:05,136.84
2023-04-23 00:05,122.4
2023-04-23 01:05,149.43
2023-04-23 02:05,134.2
2023-04-23 03:05,132.78
2023-04-23 04:05,135.03
2023-04-23 05:05,129.54
2023-04-23 06:05,127.7
2023-04-23 07:05,132.17
2023-04-23 08:05,137.31
2023-04-23 09:05,134.59
2023-04-23 10:05,135.64
2023-04-23 11:05,135.07
2023-04-23 12:05,133.4
2023-04-23 13:05,131.92
2023-04-23 14:05,140.73
2023-04-23 15:05,135.36
2023-04-23 16:05,142.32
2023-04-23 17:05,140.87
2023-04-23 18:05,143.2
2023-04-23 19:05,154.6
2023-04-23 20:05,157.28
2023-04-23 21:05,156.27
2023-04-23 22:05,162.12
2023-04-23 23:05,161.04
2023-04-24 00:05,147.0
2023-04-24 01:05,153.52
2023-04-24 02:05,153.88
2023-04-24 03:05,154.82
2023-04-24 04:05,159.38
2023-04-24 05:05,162.17
2023-04-24 06:05,179.2
2023-04-24 07:05,164.51
2023-04-24 08:05,166.63
2023-04-24 09:05,167.86
2023-04-24 10:05,171.51
2023-04-24 11:05,168.81
2023-04-24 12:05,145.9
2023-04-24 13:05,156.39
2023-04-24 14:05,156.17
2023-04-24 15:05,158.42
2023-04-24 16:05,150.5
2023-04-24 17:05,157.82
2023-04-24 18:05,153.0
2023-04-24 19:05,152.86
2023-04-24 20:05,155.58
2023-04-24 21:05,158.91
2023-04-24 22:05,152.24
2023-04-24 23:05,154.62
2023-04-25 00:05,166.3
2023-04-25 01:05,147.27
2023-04-25 02:05,163.07
2023-04-25 03:05,211.63
2023-04-25 04:05,166.17
2023-04-25 05:05,167.67
2023-04-25 06:05,160.5
2023-04-25 07:05,177.73
2023-04-25 08:05,180.48
2023-04-25 09:05,186.79
2023-04-25 10:05,202.88
2023-04-25 11:05,179.19
2023-04-25 12:05,167.5
2023-04-25 13:05,189.17
2023-04-25 14:05,164.04
2023-04-25 15:05,173.18
2023-04-25 16:05,186.49
2023-04-25 17:05,180.12
2023-04-25 18:05,193.3
2023-04-25 19:05,176.92
2023-04-25 20:05,173.16
