time_utc,wdr_deg,wsp_ms,temp_f,relh_percent,solr,pressure_altcorr
YYYY-MM-DD HH:mm,degrees,m/s,F,percent,W/m²,altitude corrected millibars
2023-04-15 00:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 01:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 02:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 03:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 04:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 05:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 06:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 07:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 08:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 09:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 10:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 11:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 12:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 13:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 14:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 15:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 16:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 17:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 18:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 19:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 20:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 21:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 22:05,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-15 23:05,52.0,1.17,79.28,10.8,509.7,1014.7
2023-04-16 00:05,32.7,1.53,79.13,10.4,258.9,1015.1
2023-04-16 01:05,85.0,1.51,77.74,11.1,49.0,1015.4
2023-04-16 02:05,121.5,1.8,73.94,14.0,0.0,1016.0
2023-04-16 03:05,355.2,2.33,68.49,15.8,0.0,1017.6
2023-04-16 04:05,284.0,2.0,67.14,12.0,0.0,1018.6
2023-04-16 05:05,334.5,2.5,63.26,13.1,0.0,1019.0
2023-04-16 06:05,57.9,5.09,60.07,18.4,0.0,1019.9
2023-04-16 07:05,81.8,6.8,57.05,31.1,0.0,1020.3
2023-04-16 08:05,42.7,2.33,54.52,35.0,0.0,1021.5
2023-04-16 09:05,82.9,2.12,53.22,35.0,0.0,1022.9
2023-04-16 10:05,36.4,0.95,52.1,35.0,0.0,1023.5
2023-04-16 11:05,328.8,1.37,49.37,37.3,0.0,1024.2
2023-04-16 12:05,38.5,1.07,45.86,42.8,0.1,1024.9
2023-04-16 13:05,16.4,0.79,46.39,41.1,100.9,1025.9
2023-04-16 14:05,113.3,2.23,51.78,34.9,323.0,1026.5
2023-04-16 15:05,106.2,2.39,53.36,33.0,563.4,1026.6
2023-04-16 16:05,130.0,2.39,56.31,27.8,764.0,1026.2
2023-04-16 17:05,150.1,4.0,58.5,24.2,912.9,1025.6
2023-04-16 18:05,165.6,4.75,61.14,23.1,1004.0,1024.7
2023-04-16 19:05,149.9,4.6,64.11,21.6,1040.0,1023.3
2023-04-16 20:05,180.0,5.37,65.77,20.3,999.4,1022.0
2023-04-16 21:05,172.7,5.65,68.3,18.9,904.9,1020.7
2023-04-16 22:05,154.7,4.73,69.52,18.1,744.7,1019.6
2023-04-16 23:05,144.3,5.9,70.53,18.6,504.6,1018.6
2023-04-17 00:05,159.0,5.64,70.62,18.0,255.3,1018.0
2023-04-17 01:05,160.7,4.51,69.51,19.0,52.1,1017.8
2023-04-17 02:05,153.8,3.08,66.55,21.0,0.0,1017.4
2023-04-17 03:05,153.3,2.25,63.84,23.0,0.0,1017.9
2023-04-17 04:05,161.1,1.83,62.17,25.0,0.0,1018.2
2023-04-17 05:05,187.6,1.61,59.12,27.3,0.0,1017.8
2023-04-17 06:05,164.0,2.67,58.62,28.0,0.0,1017.3
2023-04-17 07:05,162.5,3.19,57.97,29.9,0.0,1017.1
2023-04-17 08:05,153.9,3.07,58.74,29.2,0.0,1016.1
2023-04-17 09:05,129.3,1.83,55.57,32.9,0.0,1015.2
2023-04-17 10:05,63.2,0.97,53.69,35.3,0.0,1014.7
2023-04-17 11:05,313.0,1.58,52.86,37.3,0.0,1015.0
2023-04-17 12:05,149.4,3.03,56.0,36.0,0.0,1014.6
2023-04-17 13:05,136.1,1.91,55.07,37.2,84.1,1015.3
2023-04-17 14:05,140.7,3.17,57.69,34.2,326.1,1015.5
2023-04-17 15:05,147.5,4.16,61.15,31.0,568.9,1015.0
2023-04-17 16:05,140.3,3.77,65.58,27.9,682.9,1014.4
2023-04-17 17:05,149.0,4.21,69.48,25.8,736.1,1013.7
2023-04-17 18:05,160.4,5.33,73.34,23.8,724.7,1012.9
2023-04-17 19:05,148.6,7.06,76.26,21.9,977.7,1011.6
2023-04-17 20:05,143.3,7.41,79.09,20.9,1015.1,1010.3
2023-04-17 21:05,149.3,7.85,80.22,19.9,898.7,1009.2
2023-04-17 22:05,146.1,8.2,80.84,19.9,709.6,1007.9
2023-04-17 23:05,152.3,6.89,81.24,20.2,230.7,1007.3
2023-04-18 00:05,146.7,7.93,80.04,22.0,75.1,1007.1
2023-04-18 01:05,150.2,8.07,76.14,27.1,38.4,1007.0
2023-04-18 02:05,144.4,6.53,72.57,33.1,0.0,1007.7
2023-04-18 03:05,146.4,5.84,68.85,41.3,0.0,1008.3
2023-04-18 04:05,162.5,4.48,66.83,46.1,0.0,1009.1
2023-04-18 05:05,170.6,2.82,64.68,50.6,0.0,1009.2
2023-04-18 06:05,167.1,2.74,62.96,54.7,0.0,1008.9
2023-04-18 07:05,176.6,3.53,62.88,61.8,0.0,1008.7
2023-04-18 08:05,156.7,3.6,61.54,66.0,0.0,1008.1
2023-04-18 09:05,163.4,2.99,59.21,70.0,0.0,1007.5
2023-04-18 10:05,122.5,0.84,57.12,73.2,0.0,1007.4
2023-04-18 11:05,154.1,0.9,55.22,76.8,0.0,1007.3
2023-04-18 12:05,111.5,0.63,53.33,80.0,0.1,1007.6
2023-04-18 13:05,142.4,1.5,54.78,77.2,110.2,1008.3
2023-04-18 14:05,110.7,2.36,60.78,69.8,337.4,1009.0
2023-04-18 15:05,40.2,2.01,70.45,37.8,576.9,1009.0
2023-04-18 16:05,273.9,8.26,78.94,10.0,790.6,1008.9
2023-04-18 17:05,263.4,4.76,81.2,9.1,934.4,1008.7
2023-04-18 18:05,283.9,4.68,81.5,8.1,1039.1,1008.2
2023-04-18 19:05,257.9,7.72,83.22,6.0,1085.6,1007.3
2023-04-18 20:05,269.3,7.36,84.57,5.0,1043.0,1006.6
2023-04-18 21:05,271.9,7.03,85.85,4.4,927.2,1005.9
2023-04-18 22:05,267.0,6.48,85.65,5.0,754.7,1005.3
2023-04-18 23:05,265.6,6.49,86.3,4.1,534.1,1005.0
2023-04-19 00:05,257.0,6.4,85.69,4.0,285.9,1005.1
2023-04-19 01:05,250.9,6.0,83.02,5.0,42.4,1005.3
2023-04-19 02:05,211.6,3.02,78.04,6.0,0.0,1005.7
2023-04-19 03:05,199.1,4.1,71.41,7.9,0.0,1006.3
2023-04-19 04:05,241.6,4.52,68.37,9.0,0.0,1007.1
2023-04-19 05:05,212.0,4.01,69.07,7.8,0.0,1007.2
2023-04-19 06:05,201.4,4.55,67.88,8.3,0.0,1007.3
2023-04-19 07:05,157.0,2.45,65.78,10.0,0.0,1007.7
2023-04-19 08:05,186.4,0.46,65.93,11.0,0.0,1007.1
2023-04-19 09:05,165.7,4.69,61.81,12.9,0.0,1007.2
2023-04-19 10:05,210.9,2.44,62.89,13.1,0.0,1007.4
2023-04-19 11:05,206.3,1.45,56.61,17.1,0.0,1007.6
2023-04-19 12:05,202.0,4.18,66.97,12.7,0.2,1007.8
2023-04-19 13:05,204.2,3.47,67.95,12.9,122.7,1008.6
2023-04-19 14:05,233.5,5.1,73.36,11.1,352.0,1009.2
2023-04-19 15:05,241.6,7.99,75.9,10.1,592.6,1009.1
2023-04-19 16:05,248.9,9.35,78.36,9.0,802.4,1009.0
2023-04-19 17:05,258.6,8.07,79.43,8.2,953.2,1009.2
2023-04-19 18:05,237.9,6.82,81.98,7.2,1044.4,1008.6
2023-04-19 19:05,219.5,5.32,83.27,7.1,1071.8,1007.6
2023-04-19 20:05,243.6,7.06,85.72,4.6,1041.1,1006.9
2023-04-19 21:05,195.9,6.96,85.5,6.0,907.1,1006.1
2023-04-19 22:05,260.2,6.8,86.99,5.2,743.3,1005.6
2023-04-19 23:05,215.1,8.84,85.89,6.7,518.3,1005.4
2023-04-20 00:05,248.1,5.52,85.72,6.4,263.7,1005.5
2023-04-20 01:05,218.8,2.49,83.39,8.0,66.3,1005.6
2023-04-20 02:05,179.4,1.71,78.24,8.2,0.0,1006.3
2023-04-20 03:05,218.1,3.19,77.31,8.0,0.0,1007.4
2023-04-20 04:05,241.4,3.5,70.38,11.3,0.0,1008.2
2023-04-20 05:05,288.2,4.78,73.17,9.7,0.0,1008.9
2023-04-20 06:05,298.6,4.25,72.92,9.9,0.0,1009.7
2023-04-20 07:05,286.0,4.78,74.97,8.4,0.0,1010.2
2023-04-20 08:05,222.3,1.77,73.84,8.8,0.0,1010.2
2023-04-20 09:05,244.9,3.31,71.44,9.7,0.0,1010.3
2023-04-20 10:05,208.3,2.66,70.33,10.7,0.0,1010.5
2023-04-20 11:05,331.4,2.55,70.5,10.4,0.0,1011.3
2023-04-20 12:05,328.1,3.78,61.5,15.4,0.0,1012.7
2023-04-20 13:05,353.9,3.85,61.25,14.0,37.8,1014.3
2023-04-20 14:05,306.9,3.31,61.0,15.3,154.9,1015.7
2023-04-20 15:05,310.1,4.97,62.21,14.9,382.2,1016.5
2023-04-20 16:05,56.2,4.34,64.24,16.4,659.6,1017.0
2023-04-20 17:05,45.4,3.59,64.63,22.9,916.3,1017.3
2023-04-20 18:05,17.9,3.15,67.75,15.4,1036.4,1017.0
2023-04-20 19:05,68.6,1.2,70.74,13.6,1065.6,1016.2
2023-04-20 20:05,102.5,1.53,72.5,13.6,1017.4,1015.4
2023-04-20 21:05,72.9,2.07,73.35,12.2,899.1,1014.3
2023-04-20 22:05,107.0,2.27,75.26,10.8,732.4,1012.7
2023-04-20 23:05,103.7,2.85,77.03,9.1,516.6,1011.8
2023-04-21 00:05,101.3,2.41,77.69,9.0,264.1,1011.3
2023-04-21 01:05,71.7,1.76,76.62,9.6,51.3,1011.5
2023-04-21 02:05,13.6,2.34,73.02,12.2,0.0,1011.8
2023-04-21 03:05,32.4,0.74,68.69,13.0,0.0,1012.5
2023-04-21 04:05,303.9,2.96,63.02,17.1,0.0,1013.1
2023-04-21 05:05,331.7,3.56,60.75,20.1,0.0,1013.8
2023-04-21 06:05,322.0,4.68,58.72,21.9,0.0,1014.5
2023-04-21 07:05,339.6,6.72,59.13,19.0,0.0,1016.4
2023-04-21 08:05,320.2,0.78,55.87,19.4,0.0,1017.2
2023-04-21 09:05,316.7,5.05,53.46,17.8,0.0,1017.5
2023-04-21 10:05,272.7,2.2,50.45,20.1,0.0,1018.2
