time_utc,nox,no,no2
YYYY-MM-DD HH:mm,ppb,ppb,ppb
2023-04-15 00:05,NaN,NaN,NaN
2023-04-15 01:05,NaN,NaN,NaN
2023-04-15 02:05,NaN,NaN,NaN
2023-04-15 03:05,NaN,NaN,NaN
2023-04-15 04:05,NaN,NaN,NaN
2023-04-15 05:05,NaN,NaN,NaN
2023-04-15 06:05,NaN,NaN,NaN
2023-04-15 07:05,NaN,NaN,NaN
2023-04-15 08:05,NaN,NaN,NaN
2023-04-15 09:05,NaN,NaN,NaN
2023-04-15 10:05,NaN,NaN,NaN
2023-04-15 11:05,NaN,NaN,NaN
2023-04-15 12:05,NaN,NaN,NaN
2023-04-15 13:05,NaN,NaN,NaN
2023-04-15 14:05,NaN,NaN,NaN
2023-04-15 15:05,NaN,NaN,NaN
2023-04-15 16:05,NaN,NaN,NaN
2023-04-15 17:05,NaN,NaN,NaN
2023-04-15 18:05,NaN,NaN,NaN
2023-04-15 19:05,NaN,NaN,NaN
2023-04-15 20:05,0.698,0.185,0.512
2023-04-15 21:05,0.904,0.365,0.538
2023-04-15 22:05,1.954,0.491,1.463
2023-04-15 23:05,1.478,0.326,1.152
2023-04-16 00:05,1.382,0.305,1.078
2023-04-16 01:05,7.118,0.549,6.569
2023-04-16 02:05,9.417,0.12,9.298
2023-04-16 03:05,14.184,0.359,13.824
2023-04-16 04:05,8.399,0.175,8.223
2023-04-16 05:05,15.116,0.156,14.958
2023-04-16 06:05,6.513,0.148,6.367
2023-04-16 07:05,3.109,0.255,2.853
2023-04-16 08:05,2.318,0.117,2.2
2023-04-16 09:05,1.928,0.118,1.81
2023-04-16 10:05,6.735,0.122,6.613
2023-04-16 11:05,18.851,2.739,16.111
2023-04-16 12:05,23.243,1.722,21.521
2023-04-16 13:05,8.373,0.954,7.419
2023-04-16 14:05,10.575,2.783,7.792
2023-04-16 15:05,5.961,1.922,4.039
2023-04-16 16:05,5.426,1.631,3.794
2023-04-16 17:05,1.948,0.515,1.432
2023-04-16 18:05,1.599,0.474,1.125
2023-04-16 19:05,2.13,0.573,1.557
2023-04-16 20:05,1.598,0.424,1.174
2023-04-16 21:05,1.83,0.44,1.39
2023-04-16 22:05,1.316,0.294,1.021
2023-04-16 23:05,1.616,0.303,1.314
2023-04-17 00:05,2.103,0.268,1.834
2023-04-17 01:05,2.983,0.189,2.794
2023-04-17 02:05,9.687,0.139,9.547
2023-04-17 03:05,29.074,0.242,28.834
2023-04-17 04:05,27.698,0.27,27.428
2023-04-17 05:05,10.99,0.139,10.849
2023-04-17 06:05,18.238,0.194,18.044
2023-04-17 07:05,32.441,1.73,30.709
2023-04-17 08:05,52.857,10.748,42.108
2023-04-17 09:05,21.417,0.387,21.029
2023-04-17 10:05,48.242,15.497,32.757
2023-04-17 11:05,20.529,0.879,19.652
2023-04-17 12:05,33.347,1.019,32.329
2023-04-17 13:05,48.586,14.582,34.001
2023-04-17 14:05,26.194,8.526,17.668
2023-04-17 15:05,17.262,5.816,11.447
2023-04-17 16:05,11.927,3.726,8.201
2023-04-17 17:05,7.921,2.167,5.754
2023-04-17 18:05,5.667,1.423,4.244
2023-04-17 19:05,2.601,0.652,1.949
2023-04-17 20:05,1.914,0.413,1.501
2023-04-17 21:05,1.979,0.488,1.491
2023-04-17 22:05,1.861,0.433,1.429
2023-04-17 23:05,2.906,0.376,2.53
2023-04-18 00:05,3.171,0.303,2.868
2023-04-18 01:05,5.591,0.223,5.367
2023-04-18 02:05,4.028,0.138,3.89
2023-04-18 03:05,4.201,0.085,4.116
2023-04-18 04:05,7.609,0.12,7.489
2023-04-18 05:05,6.187,0.132,6.054
2023-04-18 06:05,9.362,0.152,9.211
2023-04-18 07:05,6.874,0.194,6.68
2023-04-18 08:05,8.49,0.21,8.28
2023-04-18 09:05,10.009,0.325,9.684
2023-04-18 10:05,23.407,0.905,22.501
2023-04-18 11:05,16.964,0.695,16.27
2023-04-18 12:05,34.194,9.913,24.282
2023-04-18 13:05,67.809,36.636,31.182
2023-04-18 14:05,37.871,15.526,22.346
2023-04-18 15:05,30.672,11.712,18.958
2023-04-18 16:05,0.811,0.27,0.541
2023-04-18 17:05,0.635,0.208,0.427
2023-04-18 18:05,0.599,0.231,0.368
2023-04-18 19:05,0.384,0.174,0.209
2023-04-18 20:05,0.387,0.214,0.173
2023-04-18 21:05,1.005,0.685,0.32
2023-04-18 22:05,0.342,0.169,0.173
2023-04-18 23:05,1.727,0.314,1.412
2023-04-19 00:05,1.699,0.416,1.283
2023-04-19 01:05,0.703,0.112,0.591
2023-04-19 02:05,5.094,0.622,4.471
2023-04-19 03:05,4.471,0.124,4.348
2023-04-19 04:05,9.866,0.121,9.744
2023-04-19 05:05,4.6,0.498,4.102
2023-04-19 06:05,14.731,0.143,14.588
2023-04-19 07:05,22.281,0.135,22.146
2023-04-19 08:05,15.319,1.526,13.793
2023-04-19 09:05,55.443,17.431,38.007
2023-04-19 10:05,15.926,2.835,13.093
2023-04-19 11:05,24.796,1.685,23.111
2023-04-19 12:05,3.956,0.232,3.724
2023-04-19 13:05,4.009,0.345,3.663
2023-04-19 14:05,5.054,1.044,4.011
2023-04-19 15:05,2.321,1.0,1.321
2023-04-19 16:05,0.429,0.19,0.239
2023-04-19 17:05,0.575,0.206,0.369
2023-04-19 18:05,1.971,1.146,0.825
2023-04-19 19:05,4.862,1.736,3.126
2023-04-19 20:05,0.65,0.253,0.398
2023-04-19 21:05,2.222,0.79,1.432
2023-04-19 22:05,0.932,0.302,0.63
2023-04-19 23:05,1.774,0.608,1.167
2023-04-20 00:05,0.73,0.151,0.579
2023-04-20 01:05,13.599,3.406,10.193
2023-04-20 02:05,5.445,0.148,5.297
2023-04-20 03:05,9.402,1.879,7.523
2023-04-20 04:05,7.065,0.152,6.912
2023-04-20 05:05,NaN,NaN,NaN
2023-04-20 06:05,1.443,0.036,1.398
2023-04-20 07:05,1.055,0.069,0.985
2023-04-20 08:05,3.775,0.234,3.541
2023-04-20 09:05,1.506,0.107,1.399
2023-04-20 10:05,2.769,0.267,2.503
2023-04-20 11:05,3.738,0.133,3.606
2023-04-20 12:05,15.629,0.659,14.97
2023-04-20 13:05,6.877,0.538,6.34
2023-04-20 14:05,10.34,1.476,8.863
2023-04-20 15:05,3.706,0.788,2.917
2023-04-20 16:05,2.994,1.174,1.82
2023-04-20 17:05,2.561,1.023,1.538
2023-04-20 18:05,1.975,0.829,1.146
2023-04-20 19:05,0.758,0.345,0.413
2023-04-20 20:05,1.396,0.331,1.065
2023-04-20 21:05,2.097,0.647,1.45
2023-04-20 22:05,2.351,0.527,1.824
2023-04-20 23:05,4.36,1.019,3.34
2023-04-21 00:05,7.413,1.155,6.258
2023-04-21 01:05,4.745,0.184,4.56
2023-04-21 02:05,19.123,0.991,18.13
2023-04-21 03:05,23.18,0.138,23.043
2023-04-21 04:05,14.818,0.196,14.622
2023-04-21 05:05,NaN,NaN,NaN
2023-04-21 06:05,43.007,4.281,38.724
2023-04-21 07:05,20.449,0.72,19.731
2023-04-21 08:05,4.834,0.093,4.741
2023-04-21 09:05,8.842,0.136,8.707
2023-04-21 10:05,4.668,0.088,4.58
2023-04-21 11:05,5.396,0.179,5.217
2023-04-21 12:05,14.698,0.794,13.904
2023-04-21 13:05,9.097,1.583,7.514
2023-04-21 14:05,8.764,2.714,6.05
2023-04-21 15:05,4.403,1.807,2.596
2023-04-21 16:05,4.376,1.476,2.901
2023-04-21 17:05,3.959,1.306,2.653
2023-04-21 18:05,2.092,0.562,1.53
2023-04-21 19:05,1.33,0.418,0.912
2023-04-21 20:05,0.98,0.292,0.688
2023-04-21 21:05,0.849,0.217,0.632
2023-04-21 22:05,1.706,0.436,1.27
2023-04-21 23:05,2.471,0.539,1.932
2023-04-22 00:05,2.108,0.496,1.612
2023-04-22 01:05,0.866,0.173,0.693
2023-04-22 02:05,0.949,0.051,0.891
2023-04-22 03:05,2.63,0.045,2.579
2023-04-22 04:05,4.96,0.15,4.81
2023-04-22 05:05,NaN,NaN,NaN
2023-04-22 06:05,24.677,0.33,24.348
2023-04-22 07:05,23.101,3.507,19.593
2023-04-22 08:05,43.747,11.916,31.831
2023-04-22 09:05,38.207,8.556,29.651
2023-04-22 10:05,19.033,0.798,18.237
2023-04-22 11:05,6.601,0.224,6.378
2023-04-22 12:05,35.323,5.626,29.698
2023-04-22 13:05,9.922,1.861,8.062
2023-04-22 14:05,6.677,2.477,4.2
2023-04-22 15:05,2.963,0.984,1.979
2023-04-22 16:05,3.305,1.112,2.193
2023-04-22 17:05,1.34,0.454,0.886
2023-04-22 18:05,1.202,0.479,0.723
2023-04-22 19:05,1.305,0.499,0.806
2023-04-22 20:05,0.994,0.272,0.721
2023-04-22 21:05,1.054,0.325,0.729
2023-04-22 22:05,1.095,0.499,0.596
2023-04-22 23:05,0.999,0.238,0.762
2023-04-23 00:05,1.268,0.352,0.916
2023-04-23 01:05,1.733,0.285,1.449
2023-04-23 02:05,2.131,0.2,1.93
2023-04-23 03:05,1.244,0.182,1.062
2023-04-23 04:05,3.88,1.567,2.313
2023-04-23 05:05,2.758,0.669,2.088
2023-04-23 06:05,1.752,0.09,1.661
2023-04-23 07:05,0.989,0.105,0.885
2023-04-23 08:05,1.702,0.188,1.513
2023-04-23 09:05,2.255,0.151,2.103
2023-04-23 10:05,1.021,0.113,0.908
2023-04-23 11:05,2.95,0.234,2.716
2023-04-23 12:05,2.879,0.862,2.017
2023-04-23 13:05,3.612,0.663,2.95
2023-04-23 14:05,3.244,0.481,2.764
2023-04-23 15:05,3.129,0.385,2.743
2023-04-23 16:05,2.673,0.474,2.199
2023-04-23 17:05,4.168,0.941,3.228
2023-04-23 18:05,2.062,0.477,1.586
2023-04-23 19:05,4.526,1.211,3.316
2023-04-23 20:05,2.328,0.698,1.63
2023-04-23 21:05,2.208,0.596,1.613
2023-04-23 22:05,1.528,0.471,1.057
2023-04-23 23:05,1.832,0.465,1.367
2023-04-24 00:05,3.153,0.515,2.638
2023-04-24 01:05,3.042,0.185,2.856
2023-04-24 02:05,4.222,0.133,4.09
2023-04-24 03:05,5.876,0.127,5.749
2023-04-24 04:05,2.909,0.053,2.852
2023-04-24 05:05,4.112,0.141,3.971
2023-04-24 06:05,4.946,0.058,4.886
2023-04-24 07:05,4.351,0.135,4.216
2023-04-24 08:05,3.728,0.121,3.607
2023-04-24 09:05,5.158,0.13,5.028
2023-04-24 10:05,4.472,0.106,4.366
2023-04-24 11:05,5.738,0.155,5.583
2023-04-24 12:05,6.513,0.174,6.339
2023-04-24 13:05,5.935,0.421,5.514
2023-04-24 14:05,8.815,1.11,7.705
2023-04-24 15:05,6.673,0.912,5.76
2023-04-24 16:05,3.9,0.759,3.141
2023-04-24 17:05,4.414,1.006,3.408
2023-04-24 18:05,5.792,2.034,3.758
2023-04-24 19:05,4.983,1.749,3.234
2023-04-24 20:05,2.838,0.823,2.015
2023-04-24 21:05,2.547,0.695,1.853
2023-04-24 22:05,2.343,0.596,1.746
2023-04-24 23:05,2.726,0.564,2.163
2023-04-25 00:05,4.473,0.727,3.746
2023-04-25 01:05,3.698,0.257,3.441
2023-04-25 02:05,6.977,0.112,6.864
2023-04-25 03:05,12.898,0.188,12.708
2023-04-25 04:05,19.24,5.313,13.926
2023-04-25 05:05,11.053,0.344,10.708
2023-04-25 06:05,11.062,0.156,10.904
2023-04-25 07:05,19.936,0.635,19.301
2023-04-25 08:05,14.316,0.266,14.051
2023-04-25 09:05,17.081,2.14,14.942
2023-04-25 10:05,18.894,1.499,17.396
2023-04-25 11:05,19.601,4.689,14.91
2023-04-25 12:05,13.007,1.987,11.019
2023-04-25 13:05,12.649,1.617,11.032
2023-04-25 14:05,6.105,2.153,3.952
2023-04-25 15:05,7.303,2.594,4.709
2023-04-25 16:05,5.866,2.05,3.816
2023-04-25 17:05,NaN,NaN,NaN
2023-04-25 18:05,NaN,NaN,NaN
2023-04-25 19:05,NaN,NaN,NaN
2023-04-25 20:05,NaN,NaN,NaN
2023-04-25 21:05,1.663,0.223,1.44
2023-04-25 22:05,1.434,0.56,0.874
2023-04-25 23:05,0.848,0.232,0.616
2023-04-26 00:05,NaN,NaN,NaN
2023-04-26 01:05,1.275,0.028,1.238
2023-04-26 02:05,47.841,32.686,15.157
2023-04-26 03:05,141.463,126.183,15.28
2023-04-26 04:05,132.268,99.656,32.634
2023-04-26 05:05,43.026,26.88,16.153
2023-04-26 06:05,9.047,0.319,8.727
2023-04-26 07:05,1.365,0.029,1.328
2023-04-26 08:05,2.377,0.052,2.321
2023-04-26 09:05,5.901,0.025,5.872
2023-04-26 10:05,2.608,0.025,2.568
2023-04-26 11:05,3.27,0.025,3.235
2023-04-26 12:05,4.255,0.115,4.14
2023-04-26 13:05,6.02,0.913,5.108
2023-04-26 14:05,18.014,5.011,13.002
2023-04-26 15:05,2.676,0.857,1.819
2023-04-26 16:05,3.136,0.7,2.436
2023-04-26 17:05,2.327,0.761,1.565
2023-04-26 18:05,1.395,0.751,0.644
2023-04-26 19:05,1.65,0.874,0.776
2023-04-26 20:05,1.627,0.551,1.077
2023-04-26 21:05,1.768,0.415,1.354
2023-04-26 22:05,1.771,0.603,1.168
2023-04-26 23:05,3.097,0.932,2.165
2023-04-27 00:05,8.109,2.674,5.435
2023-04-27 01:05,2.433,0.661,1.773
2023-04-27 02:05,2.775,0.131,2.644
2023-04-27 03:05,5.535,0.325,5.211
2023-04-27 04:05,5.13,0.627,4.503
2023-04-27 05:05,3.341,0.067,3.274
2023-04-27 06:05,3.556,0.128,3.428
2023-04-27 07:05,14.154,0.597,13.558
2023-04-27 08:05,13.87,0.64,13.228
2023-04-27 09:05,10.251,0.226,10.024
2023-04-27 10:05,3.411,0.306,3.105
2023-04-27 11:05,8.156,0.13,8.026
2023-04-27 12:05,6.274,0.819,5.456
2023-04-27 13:05,46.234,26.538,19.693
2023-04-27 14:05,24.156,10.456,13.7
2023-04-27 15:05,8.845,3.102,5.743
2023-04-27 16:05,5.136,1.884,3.25
2023-04-27 17:05,5.164,1.781,3.382
2023-04-27 18:05,2.198,0.626,1.572
