time_utc,rd_particle_B,radon_B,radon_pCi,rd_particle_pCi
YYYY-MM-DD HH:mm,Bq/m³,Bq/m³,pCi/L,pCi/L
2023-04-15 00:05,NaN,NaN,NaN,NaN
2023-04-15 01:05,NaN,NaN,NaN,NaN
2023-04-15 02:05,NaN,NaN,NaN,NaN
2023-04-15 03:05,NaN,NaN,NaN,NaN
2023-04-15 04:05,NaN,NaN,NaN,NaN
2023-04-15 05:05,NaN,NaN,NaN,NaN
2023-04-15 06:05,NaN,NaN,NaN,NaN
2023-04-15 07:05,NaN,NaN,NaN,NaN
2023-04-15 08:05,NaN,NaN,NaN,NaN
2023-04-15 09:05,NaN,NaN,NaN,NaN
2023-04-15 10:05,NaN,NaN,NaN,NaN
2023-04-15 11:05,NaN,NaN,NaN,NaN
2023-04-15 12:05,NaN,NaN,NaN,NaN
2023-04-15 13:05,NaN,NaN,NaN,NaN
2023-04-15 14:05,NaN,NaN,NaN,NaN
2023-04-15 15:05,NaN,NaN,NaN,NaN
2023-04-15 16:05,NaN,NaN,NaN,NaN
2023-04-15 17:05,NaN,NaN,NaN,NaN
2023-04-15 18:05,NaN,NaN,NaN,NaN
2023-04-15 19:05,NaN,NaN,NaN,NaN
2023-04-15 20:05,NaN,NaN,NaN,NaN
2023-04-15 21:05,NaN,NaN,NaN,NaN
2023-04-15 22:05,11.5,12.9,0.349,0.311
2023-04-15 23:05,2.0,17.5,0.472,0.027
2023-04-16 00:05,8.0,8.6,0.234,0.216
2023-04-16 01:05,7.5,15.2,0.412,0.203
2023-04-16 02:05,4.0,6.4,0.172,0.108
2023-04-16 03:05,3.5,41.6,1.124,0.095
2023-04-16 04:05,3.0,15.2,0.411,0.081
2023-04-16 05:05,11.0,19.4,0.525,0.297
2023-04-16 06:05,4.0,8.6,0.234,0.108
2023-04-16 07:05,3.5,13.1,0.354,0.095
2023-04-16 08:05,7.5,24.4,0.659,0.203
2023-04-16 09:05,6.0,10.9,0.294,0.162
2023-04-16 10:05,9.0,21.8,0.59,0.243
2023-04-16 11:05,2.0,38.1,1.03,0.027
2023-04-16 12:05,16.5,79.0,2.135,0.446
2023-04-16 13:05,7.5,24.8,0.671,0.203
2023-04-16 14:05,10.5,19.4,0.524,0.284
2023-04-16 15:05,1.0,8.7,0.235,0.027
2023-04-16 16:05,10.5,4.2,0.115,0.284
2023-04-16 17:05,1.0,20.0,0.541,0.027
2023-04-16 18:05,4.5,15.3,0.414,0.122
2023-04-16 19:05,13.0,2.1,0.057,0.351
2023-04-16 20:05,1.0,17.8,0.481,0.027
2023-04-16 21:05,8.0,8.6,0.232,0.216
2023-04-16 22:05,10.0,10.8,0.293,0.27
2023-04-16 23:05,6.0,15.3,0.415,0.162
2023-04-17 00:05,5.5,10.8,0.291,0.149
2023-04-17 01:05,6.0,6.4,0.174,0.162
2023-04-17 02:05,1.0,20.1,0.542,0.027
2023-04-17 03:05,11.5,15.1,0.407,0.31
2023-04-17 04:05,10.0,10.9,0.294,0.27
2023-04-17 05:05,2.5,29.1,0.786,0.068
2023-04-17 06:05,5.5,51.7,1.398,0.149
2023-04-17 07:05,4.0,13.8,0.374,0.108
2023-04-17 08:05,1.0,19.8,0.534,0.027
2023-04-17 09:05,21.0,24.3,0.656,0.568
2023-04-17 10:05,8.5,36.4,0.982,0.23
2023-04-17 11:05,19.5,25.8,0.698,0.527
2023-04-17 12:05,16.0,19.1,0.517,0.432
2023-04-17 13:05,6.0,23.8,0.642,0.162
2023-04-17 14:05,11.0,15.1,0.408,0.297
2023-04-17 15:05,1.0,29.5,0.796,0.027
2023-04-17 16:05,7.5,19.8,0.535,0.203
2023-04-17 17:05,8.5,10.7,0.289,0.23
2023-04-17 18:05,6.5,27.2,0.735,0.176
2023-04-17 19:05,5.0,12.8,0.346,0.135
2023-04-17 20:05,14.0,8.6,0.231,0.378
2023-04-17 21:05,1.0,6.5,0.176,0.027
2023-04-17 22:05,20.0,17.4,0.47,0.541
2023-04-17 23:05,3.5,17.6,0.476,0.095
2023-04-18 00:05,9.5,22.3,0.602,0.257
2023-04-18 01:05,2.0,1.0,0.027,0.027
2023-04-18 02:05,6.0,10.9,0.295,0.162
2023-04-18 03:05,1.0,13.1,0.353,0.027
2023-04-18 04:05,1.0,15.4,0.416,0.027
2023-04-18 05:05,4.5,8.6,0.234,0.122
2023-04-18 06:05,6.5,10.9,0.294,0.176
2023-04-18 07:05,1.0,12.9,0.349,0.027
2023-04-18 08:05,12.0,13.0,0.35,0.324
2023-04-18 09:05,5.0,19.9,0.537,0.135
2023-04-18 10:05,7.0,19.8,0.535,0.189
2023-04-18 11:05,17.0,15.1,0.408,0.46
2023-04-18 12:05,13.5,23.8,0.643,0.365
2023-04-18 13:05,23.5,21.6,0.584,0.635
2023-04-18 14:05,9.0,12.9,0.349,0.243
2023-04-18 15:05,1.0,34.4,0.931,0.027
2023-04-18 16:05,8.5,4.3,0.116,0.23
2023-04-18 17:05,1.0,19.9,0.538,0.027
2023-04-18 18:05,7.5,6.3,0.17,0.203
2023-04-18 19:05,8.5,2.0,0.055,0.23
2023-04-18 20:05,4.5,6.5,0.176,0.122
2023-04-18 21:05,1.0,13.1,0.355,0.027
2023-04-18 22:05,7.0,13.2,0.356,0.189
2023-04-18 23:05,1.0,6.5,0.176,0.027
2023-04-19 00:05,3.5,6.5,0.176,0.095
2023-04-19 01:05,8.0,13.0,0.352,0.216
2023-04-19 02:05,6.5,20.1,0.544,0.176
2023-04-19 03:05,8.5,14.1,0.381,0.23
2023-04-19 04:05,6.5,10.8,0.29,0.176
2023-04-19 05:05,1.0,19.8,0.536,0.027
2023-04-19 06:05,7.5,15.2,0.411,0.203
2023-04-19 07:05,12.0,19.6,0.53,0.324
2023-04-19 08:05,9.0,22.1,0.597,0.243
2023-04-19 09:05,7.5,26.4,0.714,0.203
2023-04-19 10:05,12.0,15.2,0.41,0.324
2023-04-19 11:05,6.5,30.7,0.83,0.176
2023-04-19 12:05,10.5,19.6,0.53,0.284
2023-04-19 13:05,1.0,17.4,0.47,0.027
2023-04-19 14:05,6.0,10.9,0.294,0.162
2023-04-19 15:05,4.0,6.5,0.176,0.108
2023-04-19 16:05,1.0,13.1,0.355,0.027
2023-04-19 17:05,1.0,10.8,0.291,0.027
2023-04-19 18:05,9.0,17.7,0.479,0.243
2023-04-19 19:05,8.0,6.4,0.172,0.216
2023-04-19 20:05,1.0,8.6,0.234,0.027
2023-04-19 21:05,1.0,6.5,0.176,0.027
2023-04-19 22:05,4.0,4.2,0.113,0.108
2023-04-19 23:05,1.0,10.9,0.293,0.027
2023-04-20 00:05,8.0,13.1,0.355,0.216
2023-04-20 01:05,1.0,6.3,0.17,0.027
2023-04-20 02:05,8.5,13.0,0.351,0.23
2023-04-20 03:05,2.0,19.9,0.539,0.027
2023-04-20 04:05,3.5,17.6,0.475,0.095
2023-04-20 05:05,3.5,10.8,0.291,0.095
2023-04-20 06:05,5.0,24.2,0.655,0.135
2023-04-20 07:05,1.0,17.3,0.469,0.027
2023-04-20 08:05,3.5,8.6,0.234,0.095
2023-04-20 09:05,9.0,13.0,0.353,0.243
2023-04-20 10:05,3.5,22.1,0.598,0.095
2023-04-20 11:05,3.0,22.0,0.594,0.081
2023-04-20 12:05,10.5,19.3,0.522,0.284
2023-04-20 13:05,2.0,34.2,0.924,0.027
2023-04-20 14:05,4.0,24.1,0.65,0.108
2023-04-20 15:05,5.0,17.3,0.468,0.135
2023-04-20 16:05,12.0,33.2,0.897,0.324
2023-04-20 17:05,1.0,13.1,0.354,0.027
2023-04-20 18:05,3.0,13.1,0.354,0.081
2023-04-20 19:05,4.0,19.9,0.538,0.108
2023-04-20 20:05,5.5,6.4,0.172,0.149
2023-04-20 21:05,1.0,10.9,0.295,0.027
2023-04-20 22:05,12.0,13.0,0.351,0.324
2023-04-20 23:05,2.5,8.6,0.234,0.068
2023-04-21 00:05,1.0,2.1,0.057,0.027
2023-04-21 01:05,11.0,22.2,0.599,0.297
2023-04-21 02:05,2.5,36.1,0.976,0.068
2023-04-21 03:05,7.0,24.3,0.656,0.189
2023-04-21 04:05,9.0,32.9,0.89,0.243
2023-04-21 05:05,11.0,26.4,0.713,0.297
2023-04-21 06:05,22.5,23.8,0.643,0.608
2023-04-21 07:05,1.0,15.1,0.408,0.027
2023-04-21 08:05,13.0,31.1,0.842,0.351
2023-04-21 09:05,7.5,26.2,0.708,0.203
2023-04-21 10:05,16.5,24.0,0.65,0.446
2023-04-21 11:05,1.0,41.2,1.115,0.027
2023-04-21 12:05,1.0,17.3,0.467,0.027
2023-04-21 13:05,5.5,26.6,0.72,0.149
2023-04-21 14:05,2.5,15.2,0.41,0.068
2023-04-21 15:05,1.0,21.6,0.584,0.027
2023-04-21 16:05,4.5,24.1,0.651,0.122
2023-04-21 17:05,15.0,21.8,0.591,0.405
2023-04-21 18:05,3.5,8.4,0.226,0.095
2023-04-21 19:05,3.5,24.4,0.659,0.095
2023-04-21 20:05,6.0,8.7,0.235,0.162
2023-04-21 21:05,14.5,22.3,0.602,0.392
2023-04-21 22:05,1.0,6.5,0.176,0.027
2023-04-21 23:05,5.5,12.2,0.33,0.149
2023-04-22 00:05,9.0,6.5,0.176,0.243
2023-04-22 01:05,5.5,13.1,0.354,0.149
2023-04-22 02:05,6.5,2.0,0.055,0.176
2023-04-22 03:05,6.5,32.6,0.881,0.176
2023-04-22 04:05,9.5,22.1,0.597,0.257
2023-04-22 05:05,5.5,67.7,1.829,0.149
2023-04-22 06:05,9.5,12.9,0.349,0.257
2023-04-22 07:05,16.5,35.8,0.968,0.446
2023-04-22 08:05,14.5,23.0,0.621,0.392
2023-04-22 09:05,13.0,17.0,0.459,0.351
2023-04-22 10:05,11.5,46.0,1.244,0.311
2023-04-22 11:05,11.0,30.9,0.836,0.297
2023-04-22 12:05,20.0,11.4,0.307,0.541
2023-04-22 13:05,13.0,23.7,0.641,0.351
2023-04-22 14:05,1.0,24.2,0.655,0.027
2023-04-22 15:05,14.5,17.3,0.467,0.392
2023-04-22 16:05,7.5,10.9,0.294,0.203
2023-04-22 17:05,9.5,10.8,0.292,0.257
2023-04-22 18:05,9.0,19.9,0.538,0.243
2023-04-22 19:05,8.0,10.7,0.289,0.216
2023-04-22 20:05,1.0,12.9,0.349,0.027
2023-04-22 21:05,15.5,15.0,0.406,0.419
2023-04-22 22:05,6.5,12.1,0.326,0.176
2023-04-22 23:05,1.0,13.0,0.352,0.027
2023-04-23 00:05,8.5,12.8,0.347,0.23
2023-04-23 01:05,13.5,4.2,0.115,0.365
2023-04-23 02:05,6.5,6.5,0.176,0.176
2023-04-23 03:05,1.0,15.3,0.413,0.027
2023-04-23 04:05,10.0,22.3,0.602,0.27
2023-04-23 05:05,5.5,34.3,0.926,0.149
2023-04-23 06:05,2.0,12.8,0.346,0.027
2023-04-23 07:05,1.0,17.4,0.47,0.027
2023-04-23 08:05,3.5,19.7,0.533,0.095
2023-04-23 09:05,1.0,19.4,0.525,0.027
2023-04-23 10:05,3.5,8.6,0.232,0.095
2023-04-23 11:05,1.0,13.0,0.35,0.027
2023-04-23 12:05,5.0,6.4,0.174,0.135
2023-04-23 13:05,6.0,15.0,0.406,0.162
2023-04-23 14:05,11.0,12.1,0.327,0.297
2023-04-23 15:05,14.0,1.0,0.027,0.378
2023-04-23 16:05,8.0,8.7,0.235,0.216
2023-04-23 17:05,6.0,10.8,0.291,0.162
2023-04-23 18:05,1.0,4.1,0.111,0.027
2023-04-23 19:05,1.0,6.5,0.176,0.027
2023-04-23 20:05,7.5,4.2,0.113,0.203
2023-04-23 21:05,5.5,10.8,0.293,0.149
2023-04-23 22:05,1.0,8.6,0.234,0.027
