time_utc,ethane,ethene,propane,propene,1_3-butadiene,i-butane,n-butane,acetylene,cyclopentane,i-pentane,n-pentane,n-hexane,isoprene,n-heptane,benzene,n-octane,toluene,ethyl-benzene,m&p-xylene,o-xylene
YYYY-MM-DD HH:mm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
2023-04-15 00:05,3.584,0.062,1.675,0.009,0.007,0.311,0.698,0.214,0.054,0.26,0.254,0.117,0.026,0.064,0.066,0.11,0.098,0.014,0.084,0.024
2023-04-15 01:05,2.859,0.066,1.27,0.009,0.007,0.245,0.508,0.218,0.05,0.188,0.179,0.083,0.024,0.045,0.047,0.093,0.081,0.011,0.082,0.026
2023-04-15 02:05,1.465,0.04,1.001,0.009,0.007,0.13,0.302,0.195,0.049,0.164,0.162,0.092,0.025,0.032,0.04,0.058,0.068,0.004,0.031,0.004
2023-04-15 03:05,3.52,0.036,3.221,0.009,0.007,0.46,1.192,0.189,0.082,0.537,0.664,0.367,0.028,0.119,0.064,0.091,0.11,0.018,0.071,0.019
2023-04-15 04:05,5.741,0.035,4.669,0.009,0.007,0.912,2.286,0.189,0.076,0.682,0.745,0.213,0.028,0.08,0.065,0.085,0.093,0.004,0.041,0.004
2023-04-15 05:05,43.79,0.178,34.16,0.044,0.007,6.486,16.63,0.321,0.359,5.045,5.777,1.951,0.028,0.818,0.361,0.318,0.418,0.031,0.215,0.059
2023-04-15 06:05,44.79,0.118,26.55,0.038,0.007,4.841,11.46,0.269,0.218,3.351,3.622,1.127,0.032,0.398,0.148,0.193,0.219,0.011,0.082,0.025
2023-04-15 07:05,9.067,0.562,4.831,0.091,0.007,0.797,1.907,0.228,0.08,0.574,0.67,0.273,0.027,0.103,0.061,0.096,0.086,0.004,0.027,0.004
2023-04-15 08:05,19.26,0.043,12.88,0.009,0.007,2.801,7.202,0.212,0.181,2.366,2.64,0.878,0.027,0.369,0.154,0.183,0.192,0.01,0.109,0.03
2023-04-15 09:05,22.33,0.156,15.02,0.042,0.007,2.851,6.994,0.253,0.154,2.061,2.244,0.702,0.028,0.243,0.117,0.143,0.162,0.014,0.08,0.004
2023-04-15 10:05,18.47,0.28,10.6,0.074,0.007,1.9,4.554,0.402,0.128,1.364,1.407,0.433,0.032,0.162,0.149,0.119,0.158,0.018,0.049,0.017
2023-04-15 11:05,34.32,0.15,25.36,0.051,0.007,4.774,12.02,0.334,0.243,3.403,3.61,1.003,0.029,0.33,0.216,0.145,0.228,0.022,0.07,0.028
2023-04-15 12:05,222.1,0.468,151.1,0.161,0.007,25.94,59.33,0.774,0.804,15.56,16.34,4.814,0.031,1.904,0.806,0.742,0.861,0.058,0.412,0.108
2023-04-15 13:05,142.9,0.534,105.7,0.178,0.015,17.56,40.78,0.761,0.587,10.53,10.71,2.691,0.028,0.838,0.68,0.29,0.576,0.079,0.218,0.08
2023-04-15 14:05,271.5,0.405,218.2,0.121,0.007,39.16,89.66,0.993,1.019,21.71,21.34,3.898,0.015,0.737,1.278,0.239,0.65,0.089,0.224,0.096
2023-04-15 15:05,81.98,0.549,51.44,0.135,0.007,9.079,21.78,0.594,0.399,6.099,6.265,1.7,0.006,0.564,0.696,0.201,0.466,0.056,0.154,0.057
2023-04-15 16:05,16.46,0.028,10.93,0.03,0.007,2.04,4.894,0.063,0.115,1.444,1.425,0.402,0.006,0.125,0.254,0.07,0.154,0.015,0.036,0.004
2023-04-15 17:05,4.733,0.054,2.13,0.02,0.007,0.372,0.947,0.258,0.03,0.346,0.263,0.085,0.006,0.033,0.082,0.04,0.054,0.004,0.004,0.004
