"datetime_mountain","time_utc","ethane","ethene","propane","propene","1_3-butadiene","i-butane","n-butane","acetylene","cyclopentane","i-pentane","n-pentane","n-hexane","isoprene","n-heptane","benzene","n-octane","toluene","ethyl-benzene","m&p-xylene","o-xylene","h2s","so2","ch4","co2","nox","no","no2","co","o3","rd_particle_B","radon_B","radon_pCi","rd_particle_pCi","wdr_deg","wsp_ms","temp_f","relh_percent","solr","pressure_altcorr","rain","water_vapor_mr"
2023-05-01 00:05:00,2023-05-01 06:05:00,31.41,0.3816,19.86,0.1169,0.0071,3.151,7.985,0.3219,0.1897,2.295,2.501,0.8439,0.005723,0.332,0.3347,0.153,0.4155,0.06106,0.1262,0.04571,1.795,0.397055555555555,2193.5,425.82,24.547,8.298,16.25,151.2,38.7,10,24.6,0.664,0.27,89.7,7.5,67.04,34,0,1010.3,0,5.3
2023-05-01 01:05:00,2023-05-01 07:05:00,107.4,0.287,92.01,0.07505,0.0071,15.39,37.86,0.5062,0.5617,9.576,10.23,2.745,0.005723,0.8899,0.6961,0.263,0.6539,0.0704,0.1742,0.04546,1.61352941176471,0.630888888888889,2354.5,426.15,28.109,8.522,19.586,144.02,36.6,10,8.6,0.232,0.27,97.9,4.38,64.22,38,0,1010.9,0,5.4
2023-05-01 02:05:00,2023-05-01 08:05:00,55.2,0.1507,38.66,0.04042,0.0071,5.788,14.69,0.3084,0.3052,3.885,4.303,1.329,0.005723,0.5332,0.393,0.2139,0.3642,0.03465,0.1149,0.03122,1.15327777777778,0.261777777777778,2355.9,425.66,4.472,0.025,4.464,140.8,47,3.5,17.4,0.471,0.095,44,3.11,62.05,41.1,0,1011.7,0,5.4
2023-05-01 03:05:00,2023-05-01 09:05:00,28.5,0.1612,20.79,0.04393,0.0071,3.581,9.396,0.3306,0.1889,2.944,2.745,0.8413,0.01219,0.3825,0.2721,0.1992,0.3681,0.05124,0.1279,0.04891,0.954555555555556,0.2,2150.1,426.11,2.837,0.029,2.806,147.89,46,1,26.8,0.724,0.027,18.2,2.79,59.82,43.4,0,1012.2,0,5.3
2023-05-01 04:05:00,2023-05-01 10:05:00,45.33,0.4483,27.56,0.09964,0.0071,4.765,13.24,0.4072,0.2565,4.584,3.96,1.075,0.0178,0.3386,0.2871,0.1575,0.2298,0.01931,0.06241,0.02329,0.995705882352941,0.2,2306.8,431.39,7.852,0.102,7.744,204.8,36.4,7,29.2,0.788,0.189,9,3.33,56.71,48.1,0,1012.8,0,5.2
2023-05-01 05:05:00,2023-05-01 11:05:00,60.03,0.3376,43.27,0.1059,0.0071,7.77,19.82,0.4708,0.3133,6.789,5.429,1.351,0.02883,0.4159,0.2964,0.1867,0.2918,0.03268,0.09365,0.03082,1.12629411764706,0.462833333333333,2304.3,431.05,13.467,0.478,12.991,164.82,27.7,6,19.4,0.525,0.162,14.1,2.84,54.09,51,0,1013.2,0,5
2023-05-01 06:05:00,2023-05-01 12:05:00,67.35,0.452,40.47,0.1154,0.0071,6.922,14.93,0.5192,0.3092,4.274,4.258,1.311,0.01227,0.4432,0.5336,0.1845,0.3777,0.03759,0.08554,0.03737,1.56777777777778,0.294888888888889,2681.3,436.57,20.956,2.376,18.58,262.1,18,11,45.8,1.238,0.297,0.3,3.27,50.56,56,5.2,1013.3,0,4.8
2023-05-01 07:05:00,2023-05-01 13:05:00,30.31,0.2668,19.78,0.09549,0.0071,3.161,8.204,0.3649,0.2898,2.738,2.902,1.236,0.005723,0.6868,0.6213,0.3429,0.7145,0.1439,0.2909,0.1397,1.52055555555556,0.391058823529412,2245.6,431.71,17.239,3.399,13.842,168.41,25.1,11.5,30.5,0.825,0.311,343.2,2.45,52.82,51.4,140.2,1014.5,0,4.8
2023-05-01 08:05:00,2023-05-01 14:05:00,25.59,0.2273,17.31,0.0662,0.0071,2.973,10.94,0.3724,0.2675,5.153,3.521,0.965,0.02876,0.3502,0.4206,0.1402,0.3818,0.05287,0.1061,0.04219,0.970777777777778,0.560666666666667,2161.5,427.93,6.074,1.933,4.141,169.1,43.3,1,21.8,0.588,0.027,30.8,2.94,57.2,43,371.7,1015,0,4.7
2023-05-01 09:05:00,2023-05-01 15:05:00,29.59,0.2671,20.17,0.05794,0.0071,3.239,8.567,0.3992,0.2102,2.475,2.755,0.9163,0.01277,0.3762,0.3334,0.1432,0.2636,0.03187,0.08937,0.03228,0.819470588235294,0.577833333333333,2185.3,427.13,5.549,1.563,3.985,171.23,48.1,18.5,10.6,0.287,0.5,60.2,2.34,59.78,40,506.7,1015.1,0,4.8
2023-05-01 10:05:00,2023-05-01 16:05:00,31.73,0.2838,22.41,0.06704,0.0071,3.563,9.258,0.3989,0.2091,2.571,2.829,0.8804,0.005723,0.338,0.3553,0.1263,0.2622,0.03025,0.06328,0.02255,0.898235294117647,0.658777777777778,2184.6,426.85,4.441,0.98,3.461,174.31,52,5.5,6.4,0.172,0.149,92.1,0.91,62.68,36.6,454.3,1014.5,0,4.9
